Model;language_scenario;country_scenario;language_country_scenario;Average
Qwen3.5 2B;0.72 (49/66);0.72 (52/66);0.71 (53/66);0.72 (154/198)
Qwen3.5 9B;0.66 (46/66);0.46 (23/66);0.57 (35/66);0.56 (104/198)
Qwen3.5 27B;0.61 (46/66);0.44 (23/66);0.51 (33/66);0.52 (102/198)
LlaMa 3.2 3B;0.62 (49/66);0.58 (44/66);0.62 (48/66);0.61 (141/198)
LlaMa 3.1 8B;0.65 (48/66);0.63 (47/66);0.63 (48/66);0.64 (143/198)
LlaMa 3.1 70B;0.67 (43/66);0.58 (42/66);0.67 (53/66);0.64 (138/198)
DeepSeek-V3.2;0.58 (41/66);0.43 (20/66);0.48 (30/66);0.5 (91/198)
Sonnet 4.6;0.55 (36/66);0.35 (28/66);0.35 (24/66);0.42 (88/198)
GPT 5.4;0.66 (46/66);0.37 (23/66);0.4 (28/66);0.48 (97/198)
Gemini 3 Flash;0.57 (40/66);0.33 (18/66);0.41 (25/66);0.44 (83/198)
