,Albanian - AL,Albanian - MK,Albanian - XK,Armenian - AM,Azerbaijani - AZ,Belarusian - BY,Bokmål - NO,Bosnian - BA,Bulgarian - BG,Catalan - AD,Croatian - BA,Croatian - HR,Czech - CZ,Danish - DK,Dutch - BE,Dutch - NL,English - GB,English - IE,English - MT,Estonian - EE,Finnish - FI,French - BE,French - CH,French - FR,French - LU,French - MC,Georgian - GE,German - AT,German - BE,German - CH,German - DE,German - LI,German - LU,Greek - CY,Greek - GR,Hungarian - HU,Icelandic - IS,Irish - IE,Italian - CH,Italian - IT,Italian - SM,Latvian - LV,Lithuanian - LT,Luxembourgish - LU,Macedonian - MK,Maltese - MT,Montenegrin - ME,Polish - PL,Portuguese - PT,Romanian - MD,Romanian - RO,Russian - BY,Russian - RU,Serbian - BA,Serbian - RS,Serbian - XK,Slovak - SK,Slovene - SI,Spanish - ES,Swedish - FI,Swedish - SE,Turkish - CY,Turkish - TR,Ukrainian - UA,Fact Average
Qwen 2B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen 9B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen 27B,0.61,0.64,0.68,0.96,0.88,0.73,0.71,0.71,0.71,0.7,0.8,0.7,0.78,0.81,0.81,0.75,0.83,0.77,0.69,0.74,0.79,0.77,0.77,0.73,0.78,0.89,0.87,0.63,0.65,0.73,0.72,0.65,0.61,0.72,0.79,0.76,0.68,0.79,0.65,0.68,0.73,0.69,0.75,0.76,0.69,0.79,1.0,0.88,0.79,0.64,0.65,0.87,0.9,0.7,0.67,0.78,0.74,0.77,0.83,0.81,0.78,0.73,0.81,0.77,0.75
LlaMA 3B,0.32,0.27,0.25,0.49,,1.0,0.93,0.83,0.81,0.89,0.91,0.94,0.85,0.44,,,,0.58,0.61,0.96,0.65,0.98,1.0,0.98,0.99,0.97,0.66,,,,,,,0.58,0.64,,,,0.87,0.84,0.98,,0.77,,0.81,,,0.8,0.84,0.6,0.54,0.64,0.66,0.74,0.87,0.8,0.88,0.6,0.78,0.44,0.54,1.0,1.0,0.97,0.76
LlaMA 8B,0.32,0.33,0.4,0.88,,0.7,0.38,0.59,0.45,0.39,0.42,0.5,0.54,,,,,0.69,0.55,0.39,0.49,0.59,0.6,0.6,0.65,0.77,0.61,,,,,,,0.83,0.81,,,,0.52,0.68,0.49,,0.46,,0.5,1.0,,0.57,0.62,0.44,0.52,0.55,0.52,0.55,0.48,0.47,0.99,0.51,0.6,0.71,0.76,0.75,0.85,0.59,0.59
LlaMA 70B,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0
DeepSeek,0.93,0.74,0.73,0.98,0.93,0.98,0.93,0.87,0.94,0.85,0.83,0.91,0.87,0.91,0.87,0.85,0.81,0.87,0.88,0.9,0.84,0.8,0.76,0.86,0.71,0.95,0.89,0.84,0.92,0.81,0.79,0.69,0.85,0.89,0.9,0.81,0.81,0.7,0.9,0.87,0.85,0.79,0.92,0.77,0.95,1.0,0.4,0.93,0.94,0.96,0.93,0.9,0.97,0.76,0.92,0.86,0.89,0.86,0.95,0.95,0.93,0.75,0.97,0.9,0.86
Sonnet,0.92,0.98,0.95,0.97,0.99,0.99,0.98,0.97,0.99,0.9,1.0,0.98,0.94,0.97,1.0,0.97,0.97,0.96,0.97,0.99,0.95,0.98,0.96,0.93,0.96,0.97,0.95,0.98,0.97,0.98,0.95,0.98,0.98,0.89,0.98,0.99,0.99,0.92,1.0,0.95,0.95,0.97,0.99,0.98,0.94,0.97,1.0,0.99,0.98,0.97,0.94,1.0,0.98,0.97,0.96,0.93,0.95,0.98,0.98,0.95,0.99,0.96,1.0,0.99,0.97
GPT,0.84,0.74,0.82,0.74,0.87,0.89,0.85,0.81,0.85,0.74,0.81,0.82,0.79,0.82,0.82,0.8,0.84,0.86,0.95,0.81,0.85,0.84,0.79,0.8,0.81,0.72,0.78,0.82,0.88,0.81,0.85,0.78,0.78,0.77,0.84,0.79,0.84,0.85,0.81,0.85,0.64,0.84,0.89,0.84,0.81,1.0,0.8,0.87,0.84,0.74,0.87,0.86,0.83,0.81,0.78,0.76,0.77,0.79,0.86,0.86,0.82,0.71,0.88,0.84,0.82
Gemini,0.89,0.88,0.97,0.92,0.92,0.95,0.97,0.92,0.92,0.9,0.94,0.95,0.87,0.92,0.97,0.94,0.94,0.95,0.95,0.89,0.95,0.94,0.89,0.93,0.97,0.96,0.94,0.79,0.95,0.92,0.96,0.84,0.93,0.84,0.94,0.87,0.97,0.95,0.84,0.91,0.73,0.88,0.95,0.91,0.92,0.95,1.0,0.97,0.93,0.89,0.92,0.98,0.94,0.89,0.98,0.93,0.83,0.93,0.94,0.97,0.96,0.91,0.99,0.95,0.92
