,Albanian,Armenian,Azerbaijani,Belarusian,Bokmål,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Georgian,German,Greek,Hungarian,Icelandic,Irish,Italian,Latvian,Lithuanian,Luxembourgish,Macedonian,Maltese,Modern Greek,Montenegrin,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Slovene,Spanish,Swedish,Turkish,Ukrainian,Fact Average
Qwen3.5 2B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen3.5 9B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Qwen3.5 27B,0.6,0.84,0.78,0.63,0.74,0.65,0.7,0.79,0.73,0.8,0.75,0.73,0.68,0.71,0.81,0.82,0.81,0.63,0.7,0.75,0.74,0.71,0.67,0.59,0.67,0.76,0.66,0.72,0.7,1.0,0.72,0.73,0.68,0.77,0.75,0.79,0.7,0.76,0.77,0.59,0.67,0.73
LlaMa 3.2 3B,0.31,0.6,,0.99,0.95,0.96,0.77,0.99,0.91,0.9,0.48,,0.64,0.96,0.66,0.99,0.71,,0.81,1.0,,,0.95,,0.75,,0.92,,0.81,,0.97,0.89,0.71,0.72,0.93,0.82,0.72,0.78,0.64,1.0,0.96,0.82
LlaMa 3.1 8B,0.35,0.94,,0.6,0.49,0.78,0.4,0.61,0.39,0.57,0.54,,0.75,0.4,0.56,0.74,0.44,,0.73,1.0,,,0.65,,0.39,,0.55,1.0,0.73,,0.63,0.68,0.53,0.53,0.58,0.99,0.56,0.64,0.53,0.84,0.6,0.63
LlaMa 3.1 70B,0.47,0.62,,0.72,0.77,0.47,0.6,0.73,0.49,0.65,0.64,,0.77,0.61,0.66,0.61,0.6,,0.66,1.0,,,0.63,,0.7,,0.55,1.0,0.66,,0.67,0.71,0.49,0.75,0.61,0.79,0.58,0.69,0.77,0.71,0.52,0.66
DeepSeek-V3.2,0.94,0.92,0.8,0.9,0.9,0.87,0.88,0.95,0.88,0.92,0.93,0.78,0.95,0.82,0.85,0.97,0.91,0.83,0.86,0.74,0.66,0.7,0.92,0.73,0.89,0.82,0.88,1.0,0.86,0.53,0.92,0.97,0.93,0.88,0.94,0.89,0.85,0.92,0.92,0.92,0.94,0.87
Sonnet 4.6,0.88,0.98,0.94,0.92,0.97,0.95,0.94,0.95,0.95,0.96,0.93,0.94,0.96,0.92,0.94,0.97,0.97,0.96,0.95,0.94,0.87,0.91,0.96,0.95,0.96,0.91,0.95,1.0,0.95,1.0,0.93,0.94,0.9,0.97,0.85,0.91,0.9,1.0,0.97,0.96,0.95,0.94
GPT 5.4,0.71,0.68,0.68,0.69,0.8,0.83,0.8,0.89,0.83,0.84,0.84,0.87,0.86,0.85,0.81,0.85,0.81,0.9,0.83,0.81,0.79,0.84,0.82,0.82,0.84,0.76,0.79,1.0,0.83,0.67,0.79,0.8,0.81,0.82,0.8,0.81,0.81,0.87,0.85,0.87,0.81,0.81
Gemini 3 Flash,0.89,0.93,0.93,0.96,0.96,0.92,0.91,0.95,0.94,0.91,0.97,0.94,1.0,0.94,0.94,0.96,0.9,0.95,0.94,0.93,0.92,0.91,0.94,0.91,0.94,,0.91,0.95,0.94,1.0,0.93,0.94,0.91,0.92,0.97,0.85,0.91,0.89,0.93,0.94,0.98,0.93
