;Albania;Andorra;Armenia;Austria;Azerbaijan;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Cyprus;Czechia;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Kosovo;Latvia;Liechtenstein;Lithuania;Luxembourg;Malta;Moldova;Monaco;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;United Kingdom;avg_distance
Qwen 2B;27;23;58;10;64;56;-20;28;48;17;30;31;-22;18;-6;7;52;-4;-2;42;-24;0;49;31;45;36;51;-2;-24;31;54;6;-1;37;-2;49;1;51;65;42;36;42;18;-13;-4;18;54;46;27;23.9375
Qwen 9B;29;35;64;20;64;59;-10;40;55;27;47;40;-10;33;7;19;54;7;16;50;-10;17;60;41;52;47;52;11;-10;41;67;8;6;44;9;55;11;63;62;54;43;40;30;-9;8;29;70;55;41;33.166666666666664
Qwen 27B;38;41;70;27;75;62;-4;46;58;29;53;45;0;33;14;20;68;11;20;51;-2;24;62;49;56;53;57;15;-2;47;64;11;14;51;12;55;20;66;60;56;49;53;28;-7;16;33;78;60;47;38.229166666666664
LlaMA 3B;22;17;51;-5;48;57;-35;25;42;9;26;27;-22;16;-10;0;44;-20;-9;27;-36;-3;38;28;24;21;38;-18;-18;29;46;5;-14;33;-6;41;-2;48;66;31;29;37;10;-26;-7;11;55;41;26;16.895833333333332
LlaMA 8B;25;28;50;-5;48;56;-33;31;46;21;34;32;-19;23;-4;7;50;-20;1;27;-36;-4;53;32;24;21;47;-16;-18;35;52;7;-14;40;1;53;13;56;65;46;33;35;12;-17;5;19;58;52;26;21.916666666666668
LlaMA 70B;31;30;62;-5;48;66;-32;38;52;23;42;37;-9;30;4;15;59;-20;6;27;-36;-6;53;39;24;21;37;-15;-29;23;46;-3;-14;30;-10;40;-5;42;60;34;27;33;5;-28;-8;8;57;41;21;20.208333333333332
DeepSeek;37;36;68;27;75;58;-4;43;59;30;52;44;-7;38;9;21;63;11;18;49;-3;22;61;45;56;53;59;15;-10;39;60;8;14;48;9;54;19;61;62;56;45;44;32;-10;14;33;71;63;42;36.395833333333336
Sonnet;34;39;53;31;65;61;1;41;53;26;48;43;0;40;14;23;65;17;17;42;-3;26;56;44;50;56;58;18;-4;40;65;6;21;48;14;58;19;62;67;50;45;51;28;-8;18;35;73;61;45;36.8125
GPT;43;41;78;34;89;82;-1;49;66;35;55;47;-1;39;16;21;71;18;21;60;2;28;62;51;60;59;61;20;-5;52;66;10;21;57;16;64;23;70;87;58;52;57;34;-7;21;36;84;68;47;43.125
Gemini;18;16;46;-2;50;45;-29;17;33;2;21;15;-33;7;-18;-5;40;-16;-10;29;-31;-6;33;22;27;24;30;-12;-26;16;41;-1;-8;29;-17;30;-5;35;49;31;21;27;2;-32;-12;5;46;35;8;12.0625
