Model;language_scenario_Fact;language_scenario_Stance;country_scenario_Fact;country_scenario_Stance;language_country_scenario_Fact;language_country_scenario_Stance;Fact_Average;Stance_Average
Qwen 2B;49;62;82;74;47;62;59;66
Qwen 9B;50;74;44;82;45;72;46;76
Qwen 27B;50;80;36;89;43;75;43;81
LlaMA 3B;25;53;52;72;27;53;35;59
LlaMA 8B;45;60;56;73;47;60;49;64
LlaMA 70B;53;74;47;65;50;50;50;63
DeepSeek;53;79;48;83;45;76;49;79
Sonnet;36;81;34;84;37;76;36;80
GPT;73;83;54;91;50;84;59;86
Gemini;57;57;50;52;53;56;53;55
