,Country,languages,language_scenario_per,country_scenario_per,language_country_scenario_per,rainbow_map_score
51,Russia,Russian,46.892,27.941000000000003,29.657,2.0
4,Azerbaijan,Azerbaijani,39.929,26.589999999999996,25.179,2.25
61,Turkey,Turkish,28.798000000000002,24.657,14.732999999999999,4.75
5,Belarus,Belarusian,46.871,18.55,27.535000000000004,7.01
6,Belarus,Russian,46.892,18.55,26.912,7.01
2,Armenia,Armenian,44.451,24.021,31.529000000000003,9.16
23,Georgia,Georgian,44.245,31.814,34.488,11.88
42,Monaco,French,34.959,34.832,16.331,13.7
50,Romania,Romanian,49.934000000000005,39.993,43.641000000000005,18.63
62,Ukraine,Ukrainian,39.737,34.519999999999996,31.468,18.76
13,Bulgaria,Bulgarian,46.131,34.751,38.464,19.76
48,Poland,Polish,43.727,38.597,30.256999999999998,21.5
26,Hungary,Hungarian,55.616,39.532,44.36,22.7
35,Lithuania,Lithuanian,53.33200000000001,45.206,44.273,24.09
30,Italy,Italian,52.50599999999999,45.707,41.385000000000005,24.41
54,Slovakia,Slovak,43.469,42.154,29.815999999999995,24.92
33,Latvia,Latvian,46.415,43.993,35.721000000000004,25.74
52,San Marino,Italian,52.50599999999999,43.22,45.083999999999996,28.52
34,Liechtenstein,German,54.443,48.711,43.153,28.96
46,North Macedonia,Macedonian,48.652,41.322,41.805,29.26
45,North Macedonia,Albanian,49.688,41.322,40.417,29.26
15,Cyprus,Greek,60.516999999999996,48.439,49.233000000000004,33.69
16,Cyprus,Turkish,28.798000000000002,48.439,21.809,33.69
53,Serbia,Serbian,54.672000000000004,42.513,46.977,33.76
32,Kosovo,Serbian,54.672000000000004,42.89,51.491,34.82
31,Kosovo,Albanian,49.688,42.89,42.407,34.82
12,Bosnia & Herzegovina,Serbian,54.672000000000004,31.897,44.682,36.99
11,Bosnia & Herzegovina,Croatian,51.472,31.897,35.727999999999994,36.99
10,Bosnia & Herzegovina,Bosnian,45.31699999999999,31.897,33.09,36.99
17,Czechia,Czech,50.803000000000004,49.921,37.981,37.32
41,Moldova,Romanian,49.934000000000005,33.6,36.785000000000004,38.41
0,Albania,Albanian,49.688,41.611000000000004,36.737,40.58
1,Andorra,Catalan,57.211,55.852,51.003,43.0
63,United Kingdom,English,53.11,57.564,54.970000000000006,43.9
19,Estonia,Estonian,46.900999999999996,57.394000000000005,39.207,46.37
60,Switzerland,Italian,52.50599999999999,57.168,53.03099999999999,50.12
59,Switzerland,German,54.443,57.168,47.961,50.12
58,Switzerland,French,34.959,57.168,35.544,50.12
14,Croatia,Croatian,51.472,54.884,45.013999999999996,51.04
43,Montenegro,Montenegrin,48.749,46.319,47.783,52.84
55,Slovenia,Slovene,51.786,59.303999999999995,50.15,54.29
3,Austria,German,54.443,59.17999999999999,53.339999999999996,54.98
22,France,French,34.959,64.182,41.013,60.25
29,Ireland,Irish,57.81699999999999,59.464999999999996,58.74300000000001,62.84
28,Ireland,English,53.11,59.464999999999996,64.463,62.84
44,Netherlands,Dutch,50.013,65.89099999999999,50.678999999999995,63.82
49,Portugal,Portuguese,50.158,70.26,61.687,66.99
38,Luxembourg,Luxembourgish,61.001999999999995,65.258,66.453,68.41
36,Luxembourg,French,34.959,65.258,44.935,68.41
37,Luxembourg,German,54.443,65.258,58.13199999999999,68.41
57,Sweden,Swedish,52.14,69.639,53.587,68.43
47,Norway,Bokmål,48.93300000000001,70.203,50.088,68.6
25,Greece,Greek,60.516999999999996,54.65599999999999,53.778,69.18
24,Germany,German,54.443,62.438,53.196000000000005,69.54
21,Finland,Swedish,52.14,70.19399999999999,56.455,69.85
20,Finland,Finnish,51.04,70.19399999999999,48.734,69.85
18,Denmark,Danish,56.403999999999996,70.54299999999999,50.499,85.1
8,Belgium,French,34.959,66.367,47.047000000000004,85.31
7,Belgium,Dutch,50.013,66.367,54.737,85.31
9,Belgium,German,54.443,66.367,60.452999999999996,85.31
27,Iceland,Icelandic,53.440999999999995,68.557,62.59400000000001,85.56
39,Malta,English,53.11,68.774,68.952,87.73
40,Malta,Maltese,45.697,68.774,52.956999999999994,87.73
56,Spain,Spanish,53.013999999999996,70.45700000000001,62.914,88.7
