Model;language_scenario;country_scenario;language_country_scenario;Average
Qwen3.5 2B;0.72 (18/66);0.72 (13/66);0.71 (15/66);0.72 (46/198)
Qwen3.5 9B;0.65 (19/66);0.46 (42/66);0.57 (32/66);0.56 (93/198)
Qwen3.5 27B;0.6 (18/66);0.44 (43/66);0.51 (33/66);0.52 (94/198)
LlaMa 3.2 3B;0.61 (16/66);0.58 (22/66);0.61 (18/66);0.6 (56/198)
LlaMa 3.1 8B;0.65 (18/66);0.62 (20/66);0.63 (19/66);0.63 (57/198)
LlaMa 3.1 70B;0.66 (26/66);0.58 (23/66);0.67 (13/66);0.64 (62/198)
DeepSeek-V3.2;0.57 (24/66);0.43 (45/66);0.48 (35/66);0.49 (104/198)
Sonnet 4.6;0.54 (28/66);0.35 (36/66);0.35 (41/66);0.41 (105/198)
GPT 5.4;0.66 (16/66);0.37 (41/66);0.4 (35/66);0.48 (92/198)
Gemini 3 Flash;0.57 (24/66);0.33 (48/66);0.41 (16/28);0.44 (88/160)
