Model;language_scenario;country_scenario;language_country_scenario;Average
Qwen3.5 2B;0.69 (20/66);0.7 (15/66);0.7 (18/66);0.7 (53/198)
Qwen3.5 9B;0.72 (16/66);0.67 (8/66);0.71 (16/66);0.7 (40/198)
Qwen3.5 27B;0.74 (14/66);0.7 (7/66);0.7 (14/66);0.71 (35/198)
LlaMa 3.2 3B;0.68 (12/66);0.73 (11/66);0.68 (13/66);0.7 (36/198)
LlaMa 3.1 8B;0.69 (13/66);0.72 (10/66);0.7 (14/66);0.7 (37/198)
LlaMa 3.1 70B;0.75 (14/66);0.72 (8/66);0.68 (15/66);0.72 (37/198)
DeepSeek-V3.2;0.75 (15/66);0.67 (8/66);0.72 (16/66);0.71 (39/198)
Sonnet 4.6;0.73 (10/66);0.64 (6/66);0.66 (14/66);0.68 (30/198)
GPT 5.4;0.75 (11/66);0.73 (6/66);0.75 (10/66);0.74 (27/198)
Gemini 3 Flash;0.69 (18/66);0.66 (19/66);0.67 (6/28);0.67 (43/160)
