Model;Scenario;Country;languages;Fact;Stance;Rainbow Map;Fact Statistics;Fact Pvalue;Fact MAE;Stance Statistics;Stance Pvalue;Stance MAE
Qwen/Qwen3.5-2B;language_scenario;Albania;Albanian;24.46;64.41;35.45;143.0;0.17;0.55;485.5;0.0;0.74
Qwen/Qwen3.5-2B;language_scenario;Andorra;Catalan;46.93;62.55;43.0;354.0;0.62;0.68;683.5;0.01;0.75
Qwen/Qwen3.5-2B;language_scenario;Armenia;Armenian;22.74;64.95;9.16;50.5;0.04;0.38;144.5;0.0;0.88
Qwen/Qwen3.5-2B;language_scenario;Austria;German;18.08;61.98;53.98;130.5;0.0;0.7;930.0;0.35;0.66
Qwen/Qwen3.5-2B;language_scenario;Azerbaijan;Azerbaijani;42.93;59.84;2.25;0.0;0.0;0.56;6.0;0.0;0.8
Qwen/Qwen3.5-2B;language_scenario;Belarus;Belarusian;90.23;51.42;10.16;0.0;0.0;1.1;289.0;0.0;0.72
Qwen/Qwen3.5-2B;language_scenario;Belarus;Russian;71.73;67.45;10.16;96.5;0.0;0.97;115.5;0.0;0.88
Qwen/Qwen3.5-2B;language_scenario;Belgium;Dutch;21.46;55.97;85.31;29.0;0.0;0.92;440.5;0.0;0.66
Qwen/Qwen3.5-2B;language_scenario;Belgium;German;18.08;61.98;85.31;19.5;0.0;0.97;356.0;0.0;0.55
Qwen/Qwen3.5-2B;language_scenario;Belgium;French;23.14;67.5;85.31;61.5;0.0;0.97;394.0;0.0;0.52
Qwen/Qwen3.5-2B;language_scenario;Bosnia & Herzegovina;Bosnian;70.36;60.48;39.63;195.5;0.0;0.77;504.0;0.0;0.63
Qwen/Qwen3.5-2B;language_scenario;Bosnia & Herzegovina;Serbian;66.29;62.28;39.63;218.0;0.01;0.72;415.0;0.0;0.6
Qwen/Qwen3.5-2B;language_scenario;Bosnia & Herzegovina;Croatian;72.93;59.27;39.63;149.0;0.0;0.73;484.5;0.01;0.63
Qwen/Qwen3.5-2B;language_scenario;Bulgaria;Bulgarian;56.4;62.51;21.26;113.5;0.0;0.69;220.5;0.0;0.71
Qwen/Qwen3.5-2B;language_scenario;Croatia;Croatian;72.93;59.27;49.14;147.0;0.01;0.62;619.0;0.14;0.63
Qwen/Qwen3.5-2B;language_scenario;Cyprus;Modern Greek;75.43;63.3;33.69;277.5;0.0;0.95;412.0;0.0;0.7
Qwen/Qwen3.5-2B;language_scenario;Cyprus;Greek;75.43;63.3;33.69;277.5;0.0;0.95;412.0;0.0;0.7
Qwen/Qwen3.5-2B;language_scenario;Cyprus;Turkish;0.0;54.5;33.69;0.0;0.0;0.46;825.0;0.0;0.74
Qwen/Qwen3.5-2B;language_scenario;Czechia;Czech;74.18;64.66;33.17;134.0;0.0;0.82;375.5;0.0;0.73
Qwen/Qwen3.5-2B;language_scenario;Denmark;Danish;36.06;56.87;80.1;83.0;0.0;0.76;523.5;0.0;0.63
Qwen/Qwen3.5-2B;language_scenario;Estonia;Estonian;73.31;56.71;45.91;72.5;0.0;0.55;594.0;0.1;0.62
Qwen/Qwen3.5-2B;language_scenario;Finland;Swedish;18.59;58.05;69.85;100.0;0.0;0.84;738.5;0.03;0.63
Qwen/Qwen3.5-2B;language_scenario;Finland;Finnish;22.0;59.26;69.85;110.5;0.0;0.82;811.0;0.09;0.63
Qwen/Qwen3.5-2B;language_scenario;France;French;23.14;67.5;61.38;32.5;0.0;0.59;832.0;0.69;0.63
Qwen/Qwen3.5-2B;language_scenario;Georgia;Georgian;64.62;55.42;11.88;83.5;0.0;0.86;185.5;0.0;0.71
Qwen/Qwen3.5-2B;language_scenario;Germany;German;18.08;61.98;69.1;156.0;0.0;0.89;862.5;0.17;0.58
Qwen/Qwen3.5-2B;language_scenario;Greece;Modern Greek;75.43;63.3;69.18;254.0;0.46;0.63;622.0;0.41;0.56
Qwen/Qwen3.5-2B;language_scenario;Greece;Greek;75.43;63.3;69.18;254.0;0.46;0.63;622.0;0.41;0.56
Qwen/Qwen3.5-2B;language_scenario;Hungary;Hungarian;62.75;54.09;22.7;310.5;0.0;0.96;445.0;0.0;0.77
Qwen/Qwen3.5-2B;language_scenario;Iceland;Icelandic;16.48;55.19;84.06;95.0;0.0;1.05;463.0;0.0;0.69
Qwen/Qwen3.5-2B;language_scenario;Ireland;Irish;99.99;50.57;62.84;0.0;0.0;0.51;974.5;0.06;0.68
Qwen/Qwen3.5-2B;language_scenario;Ireland;English;85.26;64.53;62.84;140.0;0.01;0.56;758.0;0.92;0.61
Qwen/Qwen3.5-2B;language_scenario;Italy;Italian;76.16;71.68;24.41;272.5;0.0;1.03;200.5;0.0;0.83
Qwen/Qwen3.5-2B;language_scenario;Netherlands;Dutch;21.46;55.97;63.82;139.0;0.0;0.78;922.0;0.24;0.69
Qwen/Qwen3.5-2B;language_scenario;Kosovo;Serbian;66.29;62.28;34.82;223.0;0.0;0.83;423.0;0.0;0.69
Qwen/Qwen3.5-2B;language_scenario;Kosovo;Albanian;24.46;64.41;34.82;168.0;0.18;0.56;475.0;0.0;0.74
Qwen/Qwen3.5-2B;language_scenario;Latvia;Latvian;31.49;73.14;25.74;247.0;0.55;0.59;375.5;0.0;0.92
Qwen/Qwen3.5-2B;language_scenario;Liechtenstein;German;18.08;61.98;28.96;60.0;0.09;0.38;462.0;0.0;0.71
Qwen/Qwen3.5-2B;language_scenario;Lithuania;Lithuanian;38.41;73.59;24.09;199.0;0.14;0.7;377.0;0.0;0.93
Qwen/Qwen3.5-2B;language_scenario;Luxembourg;Luxembourgish;72.38;57.72;68.41;106.0;0.5;0.35;672.0;0.07;0.64
Qwen/Qwen3.5-2B;language_scenario;Luxembourg;German;18.08;61.98;68.41;75.0;0.0;0.82;804.0;0.16;0.61
Qwen/Qwen3.5-2B;language_scenario;Luxembourg;French;23.14;67.5;68.41;23.0;0.0;0.66;683.0;0.47;0.57
Qwen/Qwen3.5-2B;language_scenario;Malta;Maltese;49.28;56.91;88.83;135.0;0.0;0.75;361.5;0.0;0.68
Qwen/Qwen3.5-2B;language_scenario;Malta;English;85.26;64.53;88.83;69.0;0.47;0.29;198.5;0.0;0.52
Qwen/Qwen3.5-2B;language_scenario;Moldova;Romanian;57.11;62.59;38.41;490.0;0.15;0.96;458.5;0.0;0.66
Qwen/Qwen3.5-2B;language_scenario;Monaco;French;23.14;67.5;13.7;46.5;0.15;0.35;238.0;0.0;0.89
Qwen/Qwen3.5-2B;language_scenario;Montenegro;Montenegrin;99.99;50.0;49.28;0.0;0.0;0.69;1342.0;0.96;0.66
Qwen/Qwen3.5-2B;language_scenario;North Macedonia;Macedonian;79.94;60.91;29.26;125.5;0.0;0.89;406.0;0.0;0.71
Qwen/Qwen3.5-2B;language_scenario;North Macedonia;Albanian;24.46;64.41;29.26;168.5;0.43;0.51;356.0;0.0;0.74
Qwen/Qwen3.5-2B;language_scenario;Norway;Bokmål;9.75;61.55;68.6;31.5;0.0;0.85;856.5;0.3;0.63
Qwen/Qwen3.5-2B;language_scenario;Poland;Polish;52.29;68.04;20.5;196.0;0.0;0.78;221.5;0.0;0.83
Qwen/Qwen3.5-2B;language_scenario;Portugal;Portuguese;70.88;61.97;66.99;258.5;0.69;0.56;666.5;0.66;0.6
Qwen/Qwen3.5-2B;language_scenario;Romania;Romanian;57.11;62.59;18.63;248.5;0.0;0.9;196.0;0.0;0.75
Qwen/Qwen3.5-2B;language_scenario;Russia;Russian;71.73;67.45;2.0;0.0;0.0;0.96;0.0;0.0;0.9
Qwen/Qwen3.5-2B;language_scenario;San Marino;Italian;76.16;71.68;14.97;256.0;0.0;1.14;167.5;0.0;0.92
Qwen/Qwen3.5-2B;language_scenario;Serbia;Serbian;66.29;62.28;35.26;161.5;0.0;0.74;415.5;0.0;0.67
Qwen/Qwen3.5-2B;language_scenario;Slovakia;Slovak;58.11;65.98;27.17;244.0;0.01;0.86;299.0;0.0;0.79
Qwen/Qwen3.5-2B;language_scenario;Slovenia;Slovene;59.15;70.47;50.29;250.0;0.29;0.62;374.5;0.0;0.66
Qwen/Qwen3.5-2B;language_scenario;Spain;Spanish;68.18;76.45;77.97;160.5;0.14;0.48;399.5;0.26;0.46
Qwen/Qwen3.5-2B;language_scenario;Sweden;Swedish;18.59;58.05;66.07;76.5;0.0;0.77;885.5;0.11;0.66
Qwen/Qwen3.5-2B;language_scenario;Switzerland;Italian;76.16;71.68;50.12;173.5;0.01;0.73;400.5;0.01;0.69
Qwen/Qwen3.5-2B;language_scenario;Switzerland;German;18.08;61.98;50.12;120.0;0.0;0.65;815.0;0.09;0.65
Qwen/Qwen3.5-2B;language_scenario;Switzerland;French;23.14;67.5;50.12;93.0;0.0;0.54;639.0;0.02;0.68
Qwen/Qwen3.5-2B;language_scenario;Turkey;Turkish;0.0;54.5;4.75;0.0;0.07;0.07;106.5;0.0;0.75
Qwen/Qwen3.5-2B;language_scenario;Ukraine;Ukrainian;33.93;60.69;18.76;189.5;0.1;0.61;321.0;0.0;0.82
Qwen/Qwen3.5-2B;language_scenario;United Kingdom;English;85.26;64.53;45.65;159.0;0.0;0.77;547.5;0.01;0.64
Qwen/Qwen3.5-9B;language_scenario;Albania;Albanian;46.59;71.11;35.45;339.5;0.24;0.75;254.0;0.0;0.74
Qwen/Qwen3.5-9B;language_scenario;Andorra;Catalan;63.93;69.56;43.0;166.5;0.01;0.59;332.0;0.0;0.72
